"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Hendon Hooker","DET","42.4","28.2","306.0","2.1","0.8","5.3","15.8","0.1","0.2","21.4"
"Mac Jones","SF","43.8","29.0","314.6","1.9","1.4","5.4","19.8","0.1","0.2","21.2"
"Davis Mills","HOU","45.9","28.9","315.9","1.9","0.9","4.2","17.0","0.1","0.2","21.1"
"Will Levis","TEN","42.6","27.5","305.1","2.0","1.3","5.6","25.7","0.1","0.4","21.0"
"Case Keenum","CHI","45.9","28.6","298.8","2.0","1.0","4.5","13.4","0.1","0.3","20.6"
"Aidan O'Connell","LV","47.6","30.7","318.0","1.7","0.7","4.7","13.7","0.1","0.2","20.3"
"Joshua Dobbs","NE","41.9","27.3","262.2","1.8","1.3","6.1","30.9","0.2","0.4","20.0"
"Kirk Cousins","ATL","43.4","28.3","327.8","1.9","1.3","4.5","16.3","0.1","0.8","19.9"
"Mason Rudolph","PIT","43.6","28.1","296.9","1.6","0.8","4.4","18.9","0.1","0.3","19.5"
"Andy Dalton","CAR","46.4","30.2","305.6","1.7","1.5","4.1","16.1","0.1","0.2","19.2"
"Drew Lock","SEA","28.3","18.4","195.5","1.2","0.9","3.9","18.1","0.1","0.2","13.6"
"Jameis Winston","NYG","28.6","18.0","193.7","1.0","0.5","3.7","15.3","0.1","0.1","12.9"
"Tyson Bagent","CHI","11.5","7.0","73.5","0.5","0.0","2.5","10.5","0.0","0.0","6.0"
"Jake Haener","NO","11.0","6.5","68.5","0.5","0.5","2.5","11.5","0.0","0.0","5.4"
"Josh Johnson","WAS","10.5","7.5","64.5","0.5","0.0","2.5","4.0","0.0","0.0","5.0"
"Quinn Ewers","MIA","9.0","6.0","63.0","0.5","0.0","1.0","4.5","0.0","0.0","5.0"
"Cam Miller","LV","9.0","6.0","62.0","0.5","0.0","1.0","3.5","0.0","0.0","4.8"
"Graham Mertz","HOU","8.5","5.5","60.0","0.5","0.0","1.0","4.0","0.0","0.0","4.8"
"Kyle McCord","PHI","6.5","4.5","51.5","0.5","0.0","1.5","7.0","0.0","0.0","4.8"
"Will Howard","PIT","8.0","5.0","57.0","0.5","0.0","1.0","4.0","0.0","0.0","4.7"
