"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"J.K. Dobbins","DEN","78.0","361.0","3.0","13.0","55.0","0.0","0.5","58.6"
"Trevor Etienne","CAR","63.2","278.1","2.0","15.1","119.8","0.7","1.1","53.8"
"Nick Chubb","HOU","73.5","293.5","2.5","5.5","42.0","0.5","0.5","50.6"
"Alexander Mattison","MIA","68.2","267.2","2.6","8.6","63.5","0.3","0.3","49.9"
"Elijah Mitchell","KC","70.9","272.3","2.1","10.1","50.2","0.7","0.1","48.9"
"Antonio Gibson","NE","58.2","268.7","0.9","15.3","124.0","0.6","0.1","48.4"
"Jarquez Hunter","LAR","60.4","255.6","2.0","7.6","68.8","0.6","0.6","46.7"
"Will Shipley","PHI","61.7","282.3","1.9","5.9","43.3","0.2","0.2","45.0"
"Keaton Mitchell","BAL","60.9","285.6","1.3","6.5","78.0","0.1","0.1","44.9"
"Samaje Perine","CIN","30.3","134.1","0.9","22.5","220.5","0.9","0.6","44.8"
"Audric Estime","DEN","63.3","265.0","1.7","5.5","34.8","0.1","0.7","39.7"
"Emari Demercado","ARI","33.6","207.5","1.0","13.0","85.8","0.2","0.1","36.4"
"Khalil Herbert","IND","46.5","227.0","1.5","6.0","29.5","0.0","0.0","34.7"
"Clyde Edwards-Helaire","NO","49.5","216.3","1.1","5.8","45.4","0.4","0.2","34.5"
"Devin Singletary","NYG","51.8","213.0","1.5","7.9","48.1","0.0","0.6","34.0"
"Kenneth Gainwell","PIT","53.5","193.9","1.2","10.0","69.3","0.0","0.1","33.6"
"Cordarrelle Patterson","PIT","35.0","149.2","1.4","8.3","61.0","0.4","0.2","31.2"
"Dameon Pierce","HOU","47.5","198.0","1.4","4.2","27.7","0.1","0.3","30.9"
"DJ Giddens","IND","40.7","179.7","1.3","4.6","35.3","0.1","0.1","29.7"
"Sincere McCormick","LV","39.5","169.2","0.9","8.7","59.9","0.2","0.2","29.5"
"Kyle Juszczyk","SF","5.2","23.1","0.6","16.9","169.8","1.2","0.5","29.2"
"Sean Tucker","TB","37.8","186.3","1.1","3.4","30.2","0.1","0.1","28.7"
"Tyler Goodson","IND","33.4","154.2","1.0","4.8","27.5","0.6","0.1","27.5"
"Isaiah Davis","NYJ","33.5","170.1","0.9","5.6","41.2","0.2","0.1","27.2"
"A.J. Dillon","PHI","36.0","152.5","1.5","2.7","21.4","0.1","0.1","26.8"
"Kye Robichaux","DET","36.0","172.0","1.0","3.0","28.0","0.0","0.0","26.0"
"Amar Johnson","GB","35.0","165.0","1.0","2.0","26.0","0.0","0.0","25.1"
"Jeremy McNichols","WAS","29.7","132.8","1.5","3.5","17.6","0.1","0.1","24.4"
"Emanuel Wilson","GB","32.5","150.3","1.0","3.9","27.6","0.1","0.1","24.2"
"Ty Chandler","MIN","36.7","153.3","0.7","4.3","28.3","0.2","0.1","23.2"
"Patrick Taylor Jr.","SF","29.1","125.7","1.1","3.6","28.3","0.1","0.1","22.5"
"Craig Reynolds","DET","27.9","118.3","0.8","5.7","46.1","0.2","0.2","22.1"
"Kalel Mullings","TEN","27.5","113.7","0.7","5.9","41.7","0.2","0.1","20.9"
"Devin Neal","NO","29.3","131.6","0.8","2.0","18.4","0.0","0.1","20.0"
"Kyle Monangai","CHI","26.2","113.8","0.9","2.5","18.1","0.0","0.0","18.5"
"Hassan Haskins","LAC","25.4","82.9","1.0","1.0","13.5","0.5","0.0","18.4"
"Alec Ingold","MIA","11.0","27.8","1.2","10.3","76.0","0.2","0.6","17.3"
"Chris Brooks","GB","21.7","107.4","0.6","4.4","26.4","0.0","0.0","17.3"
